cds7_ID,year,baseline_enroll_ratio,baseline_freelunch,studentachievement,baseline_achievement,minoritycandidate_electoral_result
1663917,2007,0.66261804,0.72970891,NA,NA,0.061183572
1663925,2009,0.58817208,0.2669355,NA,NA,-0.059333667
1663925,2013,0.65866256,0.38755485,NA,NA,-0.23084068
1663958,2001,0.42718446,NA,NA,NA,0.014705896
1663974,2011,0.6902439,0.60000002,-0.031573161,-0.12337989,-0.097871423
1663974,2015,0.73286259,0.56781405,NA,-0.189436,-0.020666122
1663982,2007,0.54069221,0.14499532,NA,NA,-0.016362339
175093,2011,NA,NA,NA,NA,0.0552959
175093,2013,NA,NA,NA,NA,-0.018847495
175101,2013,NA,NA,NA,NA,0.069030836
1764014,2006,0.32248217,0.45218718,NA,NA,0.3312732
1864105,2003,0.078393877,NA,NA,NA,0.016842797
1864105,2005,0.125498,0.21115538,NA,NA,-0.029914528
1864105,2007,0.10315788,0.31578946,NA,NA,-0.0092344359
1864105,2013,0.1630435,0.2173913,-0.14647707,NA,0.18472812
1864188,2009,0.2109375,0.52604169,-0.12514389,NA,0.0060160458
1864188,2011,0.20461094,0.47838616,-0.30943269,NA,-0.060335189
1864188,2013,0.24458206,0.51083589,-0.25879815,NA,-0.028416783
1864196,2001,0.21877158,NA,NA,NA,-0.025866911
1875036,2011,0.17045456,0.40454546,NA,NA,0.02527073
1875036,2015,0.33678758,0.67875648,NA,NA,0.12266111
1964212,2002,0.81829804,NA,NA,NA,0.018241867
1964212,2010,0.90216005,0.41733503,0.054847419,0.27874276,-0.029063374
1964212,2010,0.90216005,0.41733503,0.054847419,0.27874276,-0.062820032
1964212,2014,0.91933233,0.41079417,NA,0.32534194,0.018620983
1964212,2016,0.92196113,0.47920898,NA,0.3799881,-0.0026466846
1964246,2004,0.49681342,0.28065252,NA,NA,0.096837327
1964261,2008,0.73677325,0.093643129,0.19232231,0.91350561,0.032863513
1964261,2014,0.81728321,0.12707633,NA,1.0510429,0.048365831
1964279,2006,0.87686813,0.69320822,NA,NA,0.0061478019
