id,send_date,resp_date,days_to_resp,t_mohammad,t_good,treatments,resp_true,reject1,unclear1,accept1,school_type,bigcity,region,above_median_student,above_median_grades,above_median_non_danes
947,2017-03-05,2017-03-06,1,0,0,3,1,1,0,0,0,0,Region Syddanmark,0,1,0
948,2017-03-05,2017-03-06,1,1,0,1,1,0,1,0,0,0,Region Sjælland,0,NA,0
949,2017-03-05,NA,NA,0,0,3,0,1,0,0,1,1,Region Hovedstaden,1,1,1
950,2017-03-05,2017-03-06,1,0,0,3,1,0,1,0,1,0,Region Midtjylland,1,0,1
951,2017-03-05,2017-03-06,1,0,1,2,1,0,1,0,0,0,Region Midtjylland,0,0,0
952,2017-03-05,2017-03-07,2,0,1,2,1,0,1,0,1,0,Region Midtjylland,0,1,0
953,2017-03-05,2017-03-06,1,1,1,0,1,1,0,0,1,1,Region Hovedstaden,1,1,0
954,2017-03-05,2017-03-06,1,1,0,1,1,0,0,1,1,0,Region Midtjylland,1,NA,0
955,2017-03-05,2017-03-06,1,1,0,1,1,1,0,0,0,0,Region Sjælland,1,1,1
956,2017-03-05,2017-03-06,1,0,0,3,0,1,0,0,1,1,Region Hovedstaden,1,0,1
957,2017-03-05,2017-03-07,2,1,1,0,1,0,1,0,1,1,Region Nordjylland,1,0,1
958,2017-03-05,2017-03-06,1,1,0,1,1,0,1,0,1,0,Region Syddanmark,0,0,1
959,2017-03-05,2017-03-08,3,0,0,3,1,0,0,1,0,1,Region Hovedstaden,0,1,1
960,2017-03-05,2017-03-06,1,1,0,1,1,1,0,0,0,0,Region Midtjylland,0,1,0
961,2017-03-05,2017-03-06,1,1,0,1,1,0,0,1,1,0,Region Nordjylland,0,0,0
962,2017-03-05,2017-03-06,1,0,0,3,1,0,1,0,1,0,Region Syddanmark,1,0,1
963,2017-03-05,2017-03-07,2,1,1,0,1,1,0,0,1,0,Region Midtjylland,1,1,1
964,2017-03-05,2017-03-06,1,0,1,2,1,0,0,1,1,1,Region Hovedstaden,1,0,1
965,2017-03-05,2017-03-06,1,1,1,0,1,0,1,0,1,1,Region Hovedstaden,1,0,1
966,2017-03-05,2017-03-06,1,0,1,2,1,0,1,0,1,0,Region Midtjylland,1,1,1
967,2017-03-05,2017-03-06,1,0,1,2,1,0,1,0,0,0,Region Nordjylland,0,NA,0
968,2017-03-05,NA,NA,1,0,1,0,1,0,0,1,0,Region Midtjylland,1,0,1
969,2017-03-05,2017-03-07,2,1,1,0,0,1,0,0,1,0,Region Syddanmark,1,0,1
970,2017-03-05,2017-03-06,1,0,0,3,1,1,0,0,1,0,Region Midtjylland,1,1,0
971,2017-03-05,NA,NA,0,1,2,0,1,0,0,1,0,Region Midtjylland,0,NA,0
972,2017-03-05,2017-03-05,0,0,0,3,1,0,0,1,1,0,Region Midtjylland,0,NA,0
973,2017-03-05,2017-03-07,2,0,1,2,1,1,0,0,1,1,Region Hovedstaden,1,1,0
974,2017-03-05,2017-03-06,1,0,1,2,1,1,0,0,1,1,Region Midtjylland,1,1,1
975,2017-03-05,2017-03-06,1,0,1,2,0,1,0,0,0,1,Region Hovedstaden,0,NA,1
976,2017-03-05,2017-03-07,2,1,0,1,1,1,0,0,0,0,Region Sjælland,0,NA,0
977,2017-03-05,2017-03-06,1,0,0,3,1,1,0,0,1,1,Region Hovedstaden,1,1,1
978,2017-03-05,2017-03-09,4,1,1,0,1,0,1,0,1,1,Region Hovedstaden,1,1,1
979,2017-03-05,2017-03-06,1,0,0,3,1,1,0,0,0,1,Region Hovedstaden,1,1,0
980,2017-03-05,2017-03-06,1,0,0,3,1,0,1,0,0,0,Region Midtjylland,0,1,0
981,2017-03-05,2017-03-10,5,0,0,3,1,0,1,0,1,0,Region Syddanmark,1,1,0
982,2017-03-05,2017-03-06,1,1,0,1,1,0,1,0,0,0,Region Syddanmark,0,NA,0
983,2017-03-05,2017-03-06,1,1,0,1,1,1,0,0,1,0,Region Syddanmark,0,NA,1
984,2017-03-05,2017-03-12,7,0,1,2,1,0,1,0,1,0,Region Syddanmark,0,NA,0
985,2017-03-05,2017-03-06,1,1,0,1,1,1,0,0,0,0,Region Midtjylland,1,1,0
986,2017-03-05,2017-03-06,1,0,1,2,1,0,0,1,0,0,Region Nordjylland,0,0,1
987,2017-03-05,2017-03-06,1,1,1,0,1,0,1,0,1,0,Region Syddanmark,0,0,0
988,2017-03-05,2017-03-06,1,1,1,0,1,0,1,0,1,0,Region Sjælland,1,0,1
989,2017-03-05,2017-03-06,1,0,1,2,1,0,1,0,1,1,Region Hovedstaden,1,0,1
990,2017-03-08,2017-03-09,1,0,0,3,1,1,0,0,0,1,Region Syddanmark,0,NA,1
991,2017-03-08,2017-03-09,1,0,0,3,1,0,0,1,1,1,Region Hovedstaden,1,1,1
992,2017-03-05,2017-03-06,1,1,0,1,1,0,1,0,1,0,Region Syddanmark,1,0,1
993,2017-03-08,2017-03-09,1,0,1,2,1,0,0,1,1,0,Region Midtjylland,1,0,0
994,2017-03-08,2017-03-08,0,0,0,3,0,1,0,0,0,1,Region Hovedstaden,0,0,0
995,2017-03-08,NA,NA,0,1,2,0,1,0,0,1,0,Region Midtjylland,0,1,0
996,2017-03-08,2017-03-09,1,0,1,2,1,0,1,0,1,0,Region Midtjylland,1,0,1
997,2017-03-05,2017-03-06,1,1,1,0,1,1,0,0,0,0,Region Syddanmark,0,NA,0
998,2017-03-08,2017-03-09,1,0,1,2,1,0,0,1,1,1,Region Nordjylland,0,1,0
999,2017-03-08,2017-03-09,1,0,1,2,1,0,0,1,1,0,Region Sjælland,1,NA,1
1000,2017-03-05,NA,NA,1,1,0,0,1,0,0,1,0,Region Nordjylland,0,0,0
1001,2017-03-05,2017-03-06,1,1,0,1,1,0,0,1,1,0,Region Sjælland,0,NA,0
1002,2017-03-05,2017-03-07,2,1,1,0,1,1,0,0,1,1,Region Hovedstaden,1,1,1
1003,2017-03-05,2017-03-06,1,1,0,1,1,0,1,0,1,0,Region Midtjylland,0,NA,0
1004,2017-03-05,2017-03-13,8,1,1,0,1,1,0,0,0,1,Region Hovedstaden,0,NA,0
1005,2017-03-08,2017-03-08,0,0,0,3,1,0,0,1,0,0,Region Syddanmark,0,NA,0
1006,2017-03-08,2017-03-09,1,0,1,2,1,1,0,0,1,1,Region Hovedstaden,1,0,1
1007,2017-03-05,2017-03-06,1,1,0,1,1,0,0,1,1,0,Region Midtjylland,0,0,0
1008,2017-03-05,2017-03-06,1,1,1,0,1,0,1,0,1,0,Region Syddanmark,1,1,1
1009,2017-03-05,2017-03-06,1,1,0,1,1,0,1,0,1,0,Region Syddanmark,0,0,0
1010,2017-03-08,2017-03-10,2,0,0,3,0,1,0,0,1,0,Region Nordjylland,1,0,1
1011,2017-03-08,2017-03-09,1,0,0,3,1,1,0,0,1,0,Region Sjælland,1,1,0
1012,2017-03-05,NA,NA,1,1,0,0,1,0,0,1,0,Region Midtjylland,1,NA,0
1013,2017-03-08,2017-03-09,1,1,1,0,1,0,0,1,1,0,Region Sjælland,1,1,0
1014,2017-03-08,2017-03-09,1,0,1,2,1,0,0,1,1,0,Region Nordjylland,1,NA,0
1015,2017-03-08,2017-03-10,2,0,0,3,1,0,0,1,1,1,Region Hovedstaden,1,1,1
1016,2017-03-08,2017-03-09,1,1,0,1,1,0,0,1,1,0,Region Nordjylland,0,NA,0
1017,2017-03-08,NA,NA,0,1,2,0,1,0,0,0,0,Region Syddanmark,0,1,0
1018,2017-03-08,2017-03-09,1,0,0,3,1,0,0,1,0,0,Region Syddanmark,0,0,0
1019,2017-03-08,2017-03-10,2,1,0,1,1,0,0,1,1,1,Region Hovedstaden,1,0,1
1020,2017-03-08,NA,NA,0,1,2,0,1,0,0,1,0,Region Midtjylland,0,NA,1
1021,2017-03-08,2017-03-09,1,0,0,3,1,1,0,0,1,1,Region Hovedstaden,1,1,1
1022,2017-03-08,NA,NA,1,0,1,0,1,0,0,0,1,Region Hovedstaden,1,1,1
1023,2017-03-08,2017-03-20,12,1,0,1,1,0,1,0,1,0,Region Sjælland,1,0,1
1024,2017-03-08,NA,NA,0,0,3,0,1,0,0,1,1,Region Midtjylland,1,0,1
1025,2017-03-08,2017-03-09,1,1,1,0,1,1,0,0,0,0,Region Sjælland,0,1,0
1026,2017-03-08,2017-03-09,1,1,0,1,0,1,0,0,1,0,Region Syddanmark,1,0,0
1027,2017-03-08,2017-03-09,1,0,1,2,1,0,1,0,0,0,Region Syddanmark,0,NA,1
1028,2017-03-08,NA,NA,1,1,0,0,1,0,0,0,0,Region Syddanmark,0,0,1
1029,2017-03-08,2017-03-09,1,0,1,2,1,1,0,0,0,0,Region Sjælland,0,1,0
1030,2017-03-08,2017-03-10,2,1,1,0,1,0,1,0,1,0,Region Syddanmark,1,0,1
1031,2017-03-08,2017-03-13,5,1,1,0,1,0,1,0,1,0,Region Midtjylland,0,1,0
1032,2017-03-08,2017-03-09,1,0,0,3,1,1,0,0,0,1,Region Hovedstaden,0,1,1
1033,2017-03-08,2017-03-13,5,1,0,1,1,0,1,0,1,0,Region Midtjylland,1,1,1
1034,2017-03-08,2017-03-09,1,1,1,0,1,0,1,0,1,0,Region Syddanmark,1,0,1
1035,2017-03-08,2017-03-09,1,1,0,1,1,1,0,0,0,0,Region Sjælland,1,1,1
1036,2017-03-08,2017-03-09,1,1,1,0,0,1,0,0,1,0,Region Sjælland,1,0,1
1037,2017-03-08,2017-03-08,0,1,0,1,0,1,0,0,1,0,Region Nordjylland,1,NA,0
1038,2017-03-08,2017-03-09,1,0,1,2,1,0,1,0,1,0,Region Nordjylland,0,0,0
1039,2017-03-08,2017-03-09,1,0,1,2,1,0,1,0,1,0,Region Sjælland,1,0,1
1040,2017-03-08,2017-03-09,1,1,1,0,1,1,0,0,0,1,Region Hovedstaden,1,1,0
1041,2017-03-08,2017-03-10,2,1,1,0,1,0,1,0,1,0,Region Syddanmark,1,0,1
1042,2017-03-08,NA,NA,0,1,2,0,1,0,0,1,0,Region Sjælland,1,0,1
1043,2017-03-08,2017-03-14,6,1,0,1,1,0,1,0,1,0,Region Midtjylland,0,NA,0
1044,2017-03-08,2017-03-09,1,1,0,1,1,0,1,0,1,1,Region Midtjylland,0,0,1
1045,2017-03-08,2017-03-09,1,1,0,1,1,0,1,0,1,0,Region Midtjylland,1,1,0
1046,2017-03-08,2017-03-09,1,1,1,0,1,0,1,0,1,0,Region Midtjylland,1,1,1
1047,2017-03-08,2017-03-08,0,0,1,2,1,0,1,0,0,0,Region Nordjylland,0,0,0
1048,2017-03-08,2017-03-17,9,1,0,1,1,0,1,0,1,1,Region Hovedstaden,1,1,1
1049,2017-03-08,2017-03-09,1,0,1,2,1,0,1,0,1,1,Region Hovedstaden,1,1,1
1050,2017-03-08,NA,NA,1,1,0,0,1,0,0,0,1,Region Hovedstaden,0,0,1
