female,treatment,age,education,lived_pov,bribe,widespread
1,1,36,4,2,NA,1
0,0,47,4,2,NA,1
0,1,45,3,3.4000001,NA,1
0,1,37,4,2.5999999,1,1
1,1,19,3,1,NA,1
1,1,40,3,1,1,0
1,1,32,2,0,NA,1
1,1,57,3,0,1,1
1,0,25,4,0,NA,1
1,1,18,3,0,NA,1
1,0,25,3,0,0,1
1,1,40,4,0,0,1
1,1,24,4,0,NA,1
1,1,48,4,1.4,NA,1
1,1,28,4,1.4,1,1
1,0,30,3,1.6,NA,1
1,0,38,3,1.8,0,1
1,1,37,4,1.8,0,0
1,1,32,3,0.80000001,NA,1
1,1,28,2,0,0,0
1,1,22,2,0,NA,0
0,1,40,2,2.2,NA,1
0,1,40,4,2,0,0
0,0,54,4,0,NA,1
0,1,41,3,0.60000002,NA,0
0,1,33,4,0.60000002,1,1
0,0,24,4,0.40000001,NA,1
0,0,38,4,2.2,0,0
1,0,27,4,0,0,1
0,1,18,3,0.2,0,1
0,1,37,4,0,NA,1
0,1,20,3,2.4000001,0,1
0,1,43,3,2.4000001,NA,1
1,0,40,4,0,NA,1
1,1,27,3,1,NA,0
1,1,30,4,0.2,0,1
1,1,25,4,NA,NA,0
0,0,28,4,0,0,1
0,1,35,4,0.2,1,1
0,1,30,4,0,NA,1
0,0,23,3,1,NA,0
0,1,30,3,1,NA,1
1,0,53,3,0.40000001,NA,1
1,1,45,4,1,NA,1
1,1,46,2,1.6,1,1
1,0,27,4,1.4,NA,1
1,1,26,4,1.4,NA,1
1,1,28,4,0,1,1
0,1,19,3,1.6,1,0
0,1,19,3,2.5999999,NA,0
0,0,25,3,1.4,1,0
0,0,20,2,0,NA,0
0,1,50,4,0,0,0
0,1,56,3,0.80000001,NA,0
1,0,35,3,3,0,0
1,1,23,3,0.60000002,0,1
1,1,18,3,0.60000002,NA,0
1,1,20,4,1,NA,1
0,1,29,3,1,NA,0
0,1,58,3,2,NA,1
0,1,45,4,2,1,0
0,1,23,3,2,NA,1
0,0,37,3,2.2,NA,1
0,0,40,3,1,NA,1
1,1,46,4,2.2,NA,1
1,1,30,3,2.2,1,1
0,0,35,4,2.4000001,NA,1
0,1,27,3,2.4000001,NA,0
0,0,60,4,1.6,0,1
0,1,31,4,0.40000001,0,1
0,1,25,4,0.80000001,NA,1
1,1,38,4,1,NA,1
1,1,36,4,1,0,0
1,0,57,4,1.4,NA,0
1,1,30,3,1,NA,1
1,1,32,3,1.6,1,1
1,1,38,3,0.40000001,NA,0
0,1,57,3,0.60000002,NA,1
0,0,26,3,0.2,0,1
0,0,63,4,1.8,NA,0
0,1,26,3,0.60000002,NA,1
0,1,25,4,NA,0,0
1,0,45,4,1.8,0,0
1,0,30,3,0.80000001,NA,0
1,1,38,4,0.40000001,NA,1
1,1,20,3,0.2,1,0
0,0,30,4,0.80000001,NA,1
0,1,30,4,1,NA,0
0,1,35,4,NA,1,0
1,1,20,3,1,NA,0
1,1,25,3,0.40000001,1,0
1,0,25,3,1,1,0
0,1,60,3,1.2,0,1
0,0,60,3,1,NA,0
0,1,40,4,1.4,NA,0
1,1,40,4,0,1,0
1,1,55,4,0,NA,0
1,0,65,4,0,NA,0
1,1,46,4,0,NA,1
0,1,38,4,0.80000001,NA,1
0,1,40,4,1.4,1,1
