state,dist,incumbent,repvoteshare,repspending,demspending,trumpvoteshare,lagrepvoteshare
"MS",4,"R",.6893,13.55471,11.93351,.7111,.7006
"MO",1,"D",.1727,0,13.47178,.1962,.2093
"MO",2,"R",.5201,15.24973,14.66913,.5543,.6085
"MO",3,"R",.6646,14.47596,10.441,.7048,.7083
"MO",4,"R",.6646,14.11985,13.02434,.6903,.709
"MO",5,"D",.3661,11.41585,13.96121,.4287,.3935
"MO",6,"R",.6717,14.29743,10.66653,.6656,.7051
"MO",7,"R",.6876,14.03659,10.95035,.7403,.7114
"MO",8,"R",.7458,14.12623,12.16147,.7822,.7665
"MT",1,"R",.5239,16.0979,15.23234,.6111,.5808001
"NE",1,"R",.6036,13.38767,11.25018,.6983,.6945
"NE",2,"R",.51,14.77119,14.75156,.6249,.5062
"NE",3,"R",.7672,14.29308,11.35617,.7111,1
"NV",1,"D",.3181,0,13.58391,.3461,.3173
"NV",2,"R",.5823,13.91581,11.99791,.5671,.6122
"NH",2,"D",.4346,13.0496,15.02667,.4874,.4767
"NJ",1,"D",.3406,9.545883,14.22343,.3733,.3802
"NJ",3,"R",.4934,15.3767,15.66801,.5321,.6041
"NJ",4,"R",.5626,14.25377,14.41577,.5764,.6553
"NJ",5,"D",.4307,13.75007,14.89267,.5057,.4774
"NJ",6,"D",.3637,10.84363,14.35916,.4194,.3538
"NJ",7,"R",.4745,14.82623,15.64753,.4943,.5564
"NJ",8,"D",.1933,8.691986,13.2905,.2212,.1936
"NJ",9,"D",.2912,0,14.16144,.3398,.2867
"NJ",10,"D",.1033,0,13.25096,.1306,.1217
"NJ",12,"D",.3132,10.1068,13.64831,.3285,.3375
"NM",3,"D",.33,0,14.67086,.4147,.3758
"NY",1,"R",.5207,15.39127,15.43996,.5636,.5822001
"NY",2,"R",.5311,14.97354,14.48873,.547,.6205
"NY",3,"D",.4102,13.02635,14.20997,.4686,.4714
"NY",4,"D",.3867,10.65453,14.30204,.4506,.4045
"NY",9,"D",.1033,8.191463,13.92126,.1471,0
"NY",10,"D",.1785,11.28075,14.25024,.1936,.2187001
"NY",11,"R",.4676,14.80667,15.30642,.5503,.6264
"NY",12,"D",.1228,10.47548,14.69405,.1395,.1682
"NY",13,"D",.054,8.670258,13.29246,.0553,.0721
"NY",15,"D",.0401,0,12.38102,.0496,.0357
"NY",18,"D",.4453,12.54662,15.30434,.5099,.4439
"NY",19,"R",.4733,15.17871,16.03103,.5385,.5427999
"NY",20,"D",.335,0,14.03346,.4286,.3211
"NY",21,"R",.5694,14.91347,14.22673,.574,.6841
"NY",22,"R",.4911,15.02094,15.34959,.5824,.5311
"NY",23,"R",.5424,15.07764,14.38911,.5786,.5759
"NY",24,"R",.5263,14.91961,14.81307,.4809,.6056
"NY",26,"D",.2666,0,13.72117,.3975,.2542
"NY",27,"R",.5019,14.41218,14.04386,.6291,.6720001
"NC",1,"D",.3015,10.3217,13.71508,.3112,.2968
"NC",2,"R",.5281,14.92114,14.29708,.5496,.5671
"NC",4,"D",.2493,0,13.78461,.2925,.3178
"NC",5,"R",.5704,14.67245,12.78561,.5901,.584
"NC",6,"R",.5652,13.61718,12.65289,.5754,.5923
"NC",7,"R",.5648,14.15132,13.68014,.5908,.6091
"NC",8,"R",.5534,14.5774,13.47843,.5772,.5877
"NC",10,"R",.5929,15.17594,11.77141,.6256,.6314
"NC",11,"R",.6044,14.17252,12.35827,.6512,.6409
"NC",12,"D",.2693,0,13.16602,.2934,.3298
"NC",13,"R",.5309,14.68338,15.25203,.5483,.561
"OH",1,"R",.5225,14.92278,15.23623,.5344,.5922
"OH",2,"R",.5828,14.28794,13.27982,.5843,.6645
"OH",3,"D",.2637,0,13.58496,.2992,.3143
"OH",4,"R",.6526,14.42602,13.46073,.6768,.6799001
"OH",5,"R",.6392,14.37888,12.26413,.6331,.709
"OH",6,"R",.6925,14.39919,10.17264,.7219,.7068
"OH",7,"R",.5874,14.42686,14.92721,.6558,.6886
"OH",8,"R",.6658,13.40177,10.85848,.6803,.7183
"OH",9,"D",.322,10.62013,13.42603,.3834,.3131
"OH",10,"R",.5700999,14.20146,13.99205,.5383,.6623
"OH",11,"D",.1775,9.992276,13.33113,.1744,.1975
"OH",12,"R",.5214,14.74024,15.95119,.5594,.6905
"OH",13,"D",.3901,11.42641,14.31841,.466,.3227
"OH",14,"R",.5525,14.8042,14.62187,.5601,.6261
"OH",15,"R",.595,15.42529,14.09813,.5809,.6616
"OK",2,"R",.6836,14.34865,11.76386,.7618,.7527
"OK",3,"R",.7387,13.8531,0,.7788,.7829
"OK",4,"R",.6565,14.50619,8.729074,.6989,.7275
"OK",5,"R",.493,13.70111,13.98466,.572,.608
"OR",1,"D",.335,0,13.65236,.3758,.3827
"OR",2,"R",.5883,15.41155,14.09147,.6082,.7191
"OR",3,"D",.2145,0,14.30302,.2414,0
"OR",4,"D",.4221,12.03324,14.1437,.4995,.4169
"OR",5,"D",.4319,10.47203,13.66739,.4773,.4457
"PA",1,"R",.5125999,15.06086,16.42149,.4896,.178
"PA",2,"D",.2098,0,13.78255,.2546,.0982
"PA",3,"D",.0662,9.307649,13.94578,.0715,1
"PA",8,"D",.4536,14.90923,14.75701,.549,.5443
"PA",10,"R",.5132,14.31401,14.60553,.5465,.7017
