baseline_age,baseline_previousinvest,baseLine_female,treatment,baseline_cons_vote,baseline_lab_vote,baseline_noedu,baseline_SocioeconomicValues,SocioeconomicValues_post
41,0,1,1,0,0,0,-0.26263797,0.50697947
49,1,1,1,0,0,0,1.1893911,2.1079719
58,0,1,1,1,0,0,-0.19943316,-0.47776923
72,0,1,1,0,0,0,1.4756505,0.56183738
59,1,0,0,1,0,0,-0.14911661,1.8392755
67,1,0,1,0,1,0,0.53714436,-0.38420507
68,0,1,0,0,0,0,-1.7022204,-1.9943178
44,1,0,1,0,1,0,-0.015635539,0.51753801
54,0,0,1,0,0,0,0.14886481,0.61110216
47,0,0,1,0,0,0,0.034901828,0.64628136
67,1,0,0,0,0,0,1.0563517,0.66596007
47,0,0,1,0,1,0,-0.3005079,-0.53262717
65,0,0,0,0,1,0,-1.3346252,-0.62828088
28,0,0,1,0,0,0,-0.39611903,-0.9990105
57,0,1,0,1,0,0,1.5066699,0.73984551
64,1,1,1,0,0,0,-2.222594,-0.85058838
54,0,0,1,0,1,0,-0.2694886,1.5213143
44,0,0,1,0,1,0,0.0038825446,1.9194052
63,0,1,1,1,0,0,0.047569267,-0.17101777
71,0,0,0,0,1,0,-0.71980673,-0.36805341
44,0,0,1,0,1,0,-2.4698172,-3.1570745
50,0,1,0,1,0,0,-1.8733506,-1.4182186
59,1,0,1,1,0,0,-0.015635539,0.30369946
41,1,1,0,0,1,0,-2.4442616,-0.36517757
30,0,0,1,0,1,1,-0.015635539,0.72081798
50,1,1,1,0,1,0,0.27040306,0.24884155
22,0,1,0,0,1,0,-1.3346252,-0.47776923
57,1,1,1,1,0,0,0.73907304,0.0047657462
46,0,0,1,0,1,0,-1.5884783,-2.3565784
47,1,1,0,0,1,0,-0.80136341,-1.1192849
72,1,1,1,1,0,0,0.11762471,1.2716453
60,0,1,1,0,0,0,-0.034932818,-0.21963131
57,1,0,1,0,0,0,0.47371876,0.67651862
62,0,0,0,1,0,0,0.30142233,-0.26393071
45,1,1,0,0,0,0,0.63821912,0.23828302
42,0,0,1,0,1,0,-2.4063916,-2.7293975
43,1,0,1,1,0,0,0.55549622,0.24884155
62,1,1,1,1,0,0,0.87255406,0.98951447
35,0,1,0,0,0,0,-0.71317691,-0.79573047
53,0,1,1,0,0,0,2.2613785,0.89035714
46,1,1,1,0,1,0,0.18768017,1.2335902
64,0,0,1,0,1,0,-0.066172905,0.50697947
53,0,0,0,0,0,0,0.37169859,-0.31878862
60,0,1,1,1,0,0,0.23821753,0.3585574
34,0,1,1,0,1,0,-0.61756575,-0.050092168
37,0,0,1,1,0,0,0.25088498,-0.25337216
31,0,0,1,0,0,0,-1.3658653,-0.29976112
53,0,0,1,0,0,0,-2.8948004,1.9138122
38,1,1,1,0,1,0,0.15505303,2.247925
48,0,0,1,0,0,0,0.95527697,0.57239592
31,0,1,1,0,0,0,-1.3346252,-0.85058838
46,0,1,0,1,0,0,1.1195565,0.6849876
52,0,1,1,0,1,0,0.45420069,1.0936371
66,1,0,1,0,1,0,-0.51649106,-1.20438
36,1,1,1,0,1,0,0.0038825446,-0.050092168
58,0,1,1,1,0,0,0.45420069,0.67651862
42,1,0,1,1,0,0,-0.24997053,-0.26393071
38,1,0,1,1,0,0,1.5066699,1.5213143
66,0,1,1,1,0,1,1.1080554,1.486135
55,0,1,1,0,1,0,-0.23708227,-1.7804792
64,0,0,1,1,0,0,1.423947,-0.54109615
63,0,1,1,1,0,0,0.73907304,0.3775849
56,1,1,0,1,0,0,1.6904675,1.6718259
18,0,1,1,0,0,0,-1.0681047,-0.75493467
51,0,0,1,1,0,0,-0.2123214,0.19957677
60,1,1,1,0,0,0,0.13714281,-1.4266876
64,0,1,1,1,0,1,2.0075254,1.6254369
66,1,1,1,1,0,0,1.4237262,0.10888845
72,1,0,0,0,1,0,-2.2731314,-2.4219947
33,1,0,0,0,1,0,0.25110579,-0.33781612
31,1,0,0,1,0,0,-1.087402,-0.050092168
44,1,1,1,1,0,0,-0.66810316,-0.17036653
47,1,0,1,0,1,0,-0.24997053,1.1126647
53,1,0,1,0,0,0,2.6613801,2.099503
55,1,0,1,0,0,0,-1.7722759,-1.1389636
53,1,1,1,1,0,0,0.92309147,1.1400261
53,0,1,0,1,0,0,0.82179594,0.67651862
49,1,0,0,0,0,0,0.2885341,1.8392755
41,1,1,1,0,0,0,0.23821753,0.67651862
25,1,1,1,0,0,0,-3.0785983,-3.0887823
32,0,1,1,1,0,0,1.6904675,1.6802949
51,0,1,0,0,0,0,-3.0785983,-2.6801326
69,0,0,1,1,0,0,-0.37034252,0.61110216
54,0,1,0,0,0,0,0.034901828,-0.53262717
31,1,1,1,0,0,0,2.0272641,0.58086491
60,1,1,1,0,0,0,-1.4552181,0.25731054
40,0,0,1,1,0,0,0.10473647,0.87979865
60,1,0,1,0,0,0,-1.7217386,-2.2081563
51,0,1,0,0,0,0,-0.5670284,-0.47776923
56,1,1,0,0,0,0,-3.0785983,-2.521152
50,0,0,1,0,1,0,-0.5670284,-2.7293975
28,0,1,1,0,0,0,0.16816208,0.16374637
41,0,1,1,0,0,0,0.77147937,-0.52415818
57,1,0,1,0,0,0,-0.26285878,-1.20438
49,0,0,1,0,0,0,-0.24974972,-1.9943178
73,1,1,1,1,0,0,-0.015635539,0.36702636
34,1,0,0,1,0,0,0.94238871,1.6802949
62,1,0,0,1,0,0,0.68190581,-1.5666406
57,1,1,0,0,0,0,1.6904675,0.67651862
54,0,1,1,1,0,0,-1.4552181,-1.8353372
39,1,1,1,0,0,0,0.84131402,0.92618757
55,0,1,1,0,1,0,-0.51649106,-1.4266876
71,0,1,0,1,0,0,0.48544076,-0.096481107
40,0,0,1,0,0,0,0.42201516,-0.6346603
69,1,0,1,0,1,0,-1.3036059,-1.8711675
60,1,1,1,0,0,0,0.42201516,0.52809656
27,0,0,1,1,0,0,0.32094043,0.4626801
45,0,1,1,0,0,0,-0.97991824,0.045561559
40,0,0,0,0,0,0,-0.38323078,0.72081798
72,1,1,1,0,1,0,0.23821753,0.087771386
42,1,0,0,0,0,0,1.1767237,0.081391968
64,0,0,1,0,1,1,0.63821912,0.61110216
72,0,0,1,0,0,1,0.71977574,1.4664563
60,0,1,1,0,0,1,-0.90360439,-2.4135258
59,0,0,1,1,0,0,-0.28237686,0.0047657462
46,0,0,1,0,1,0,1.3228723,0.61110216
80,1,0,1,0,1,1,1.7915422,0.29314095
54,0,0,1,0,1,0,-0.033766575,0.34240574
44,0,0,1,0,0,0,-0.066172905,1.2441489
26,0,1,1,0,1,0,-1.9055362,-1.221318
41,0,1,1,0,0,0,-0.13622835,0.035003025
35,0,1,0,0,0,0,2.2615993,0.33119595
68,1,0,1,1,0,0,0.63821912,1.6802949
54,0,0,0,0,1,0,0.21869946,1.3623337
30,0,1,1,0,0,0,-0.097192183,1.0197518
60,0,0,1,0,1,1,-1.239014,0.19398364
32,1,0,1,0,1,0,-1.3024397,0.81647176
66,0,0,1,1,0,0,1.0497218,1.7161252
49,0,0,1,0,1,0,-0.88408631,-2.989625
27,1,0,1,0,1,0,0.58768171,0.24884155
49,0,0,1,1,0,0,-0.015635539,0.51753801
54,1,0,1,1,0,0,1.8237277,0.12791596
27,1,0,1,1,0,0,-2.5076871,-3.5657241
31,0,1,0,0,1,0,-0.18013588,0.045561559
48,1,1,1,0,0,0,1.1390746,1.2526178
44,0,0,1,1,0,0,0.68853569,0.49642095
62,0,1,1,1,0,0,0.68853569,0.24884155
47,0,1,0,0,1,0,-2.4698172,-2.5894444
51,0,0,0,0,0,0,0.32094043,0.82494074
67,0,0,1,1,0,0,-0.6046775,0.34240574
63,0,1,1,0,0,0,0.65751636,0.76161385
43,0,1,1,0,0,0,-0.38323078,-0.48832777
66,0,0,1,0,0,0,-1.8549988,0.13416032
51,1,1,1,0,0,0,-0.5670284,-1.2782655
59,0,1,0,0,0,0,0.40249708,1.1484951
41,0,1,1,0,0,0,-0.16702683,-0.54318571
62,1,0,1,1,0,0,0.68853569,1.0387793
53,1,1,1,0,0,0,0.034901828,0.526007
69,0,0,1,0,0,0,0.37147778,0.14471886
50,1,0,1,0,0,0,-0.19943316,-0.69160777
59,1,0,1,0,0,0,3.0289752,2.4069057
66,1,1,1,1,0,0,-0.98654807,1.4664563
46,0,1,1,0,0,1,0.34045851,0.34240574
31,1,1,1,0,0,0,-0.86478901,0.61110216
46,1,0,1,0,0,0,0.43490341,-0.060650703
33,1,0,1,0,1,0,-0.3005079,-0.55165464
69,1,0,0,1,0,0,1.6904675,1.820248
