"","taxrich","effort_rich","proso_rich","Age","female","Income","Education","party_left","party_right"
"194",0.5,0.5,0.5,36,1,0.60000002,0.33333334,0,0
"195",0,NA,NA,58,0,0.60000002,NA,0,0
"196",0.5,1,0.83333331,60,0,0.2,0,0,1
"197",1,1,1,61,0,NA,0.66666669,0,1
"198",1,NA,NA,70,0,NA,0.83333331,0,0
"199",0.60000002,NA,NA,61,1,0.5,0.83333331,0,0
"200",0.5,0.5,0.83333331,45,0,0.69999999,0,0,1
"201",0.5,NA,NA,57,0,0.30000001,0,0,0
"202",0.40000001,0.16666667,0.16666667,70,0,0.2,0.16666667,1,0
"203",0.2,0.83333331,0.66666669,73,1,0.60000002,0.66666669,1,0
"204",0.5,0.83333331,0.83333331,52,1,0.89999998,0.16666667,0,1
"205",0,0.16666667,0,67,0,0.40000001,0.16666667,1,0
"206",0,0.5,0.5,72,0,0.30000001,0.83333331,1,0
"207",0.5,0.5,0.5,21,0,0.30000001,0.33333334,0,0
"208",1,NA,NA,42,0,1,0.5,0,1
"209",0.5,1,0.66666669,46,1,NA,0.66666669,0,0
"210",0,0.83333331,0.83333331,42,0,0.30000001,0.16666667,1,0
"211",0.5,0,0,47,1,0.30000001,0.16666667,0,0
"212",0.80000001,1,0.5,71,0,0.89999998,0.83333331,0,1
"213",1,0.83333331,0.83333331,40,1,1,0.83333331,0,1
"214",0.5,0.66666669,0.5,18,1,NA,0,0,0
"215",0.5,0.83333331,0.66666669,24,0,0.5,0.33333334,1,0
"216",0,0.66666669,0.16666667,62,0,0.2,0.33333334,1,0
"217",0.5,0,0.16666667,57,1,0.1,0.66666669,1,0
"218",0.30000001,NA,0.33333334,71,0,0.5,0.66666669,1,0
"219",0.80000001,0.66666669,0.83333331,66,0,0.60000002,0.66666669,0,1
"220",0.40000001,0.16666667,0.16666667,42,0,0.30000001,0.33333334,1,0
"221",0.5,1,0.5,68,1,0.40000001,0.66666669,0,0
"222",0,0,0,38,0,0.60000002,0.16666667,1,0
"223",0.5,0.66666669,0.5,55,0,0.80000001,0,0,1
"224",0.89999998,1,1,42,0,0.60000002,0.5,0,1
"225",0.5,1,0.33333334,26,1,0.2,0.16666667,0,0
"226",0.5,1,1,47,0,0.60000002,0.16666667,0,1
"227",0.5,0.66666669,0.5,23,1,NA,0.66666669,1,0
"228",0.69999999,0.83333331,0.5,45,0,1,0.5,0,1
"229",0.5,0.83333331,0.33333334,51,0,0.2,0.33333334,0,1
"230",0.5,NA,0.16666667,46,1,0.69999999,0.66666669,0,0
"231",0.60000002,0.83333331,0.83333331,73,1,0.30000001,0.16666667,0,1
"232",0.2,0.66666669,0.33333334,64,1,0.5,0.83333331,1,0
"233",0.30000001,0.83333331,0.5,59,0,0.69999999,0.66666669,0,1
"234",0.60000002,0.83333331,0.66666669,37,0,0.1,0.33333334,0,1
"235",0.40000001,0.83333331,1,18,1,NA,0.33333334,1,0
"236",0.2,0.16666667,1,45,1,0.5,0,1,0
"237",0.5,0.33333334,NA,18,1,NA,0,0,0
"238",0.5,1,0.83333331,67,0,0.5,0.16666667,0,0
"239",0.40000001,0.83333331,0.83333331,55,1,NA,0.5,0,1
"240",0.2,0.66666669,0.66666669,67,1,0.2,0,1,0
"241",0.69999999,1,1,67,0,0.89999998,0.83333331,0,1
"242",0.5,0.83333331,0.5,42,0,1,0.83333331,0,1
"243",0.5,1,0.33333334,45,1,0.1,0,0,1
"244",0,0.5,0,52,1,0.60000002,0.16666667,0,0
"245",0.40000001,0.83333331,0.83333331,45,0,0.5,0.33333334,1,0
"246",0.40000001,0.83333331,0.33333334,73,0,0.69999999,0.83333331,1,0
"247",0.40000001,0.66666669,0.83333331,27,1,0.40000001,0.66666669,0,1
"248",0.40000001,0.66666669,0.83333331,61,1,0.30000001,0,1,0
"249",0.5,0.66666669,1,20,0,0.40000001,0.33333334,1,0
"250",0.5,0.66666669,0.5,68,1,0.1,0.16666667,0,1
"251",0.40000001,0.16666667,0.66666669,18,0,0.30000001,0,0,0
"252",0.5,0.83333331,0.66666669,69,1,0.5,0.16666667,0,0
"253",1,1,1,18,1,1,0.33333334,0,1
"254",0.60000002,0.66666669,0.5,25,1,NA,0.33333334,0,0
"255",0.5,0.83333331,0.5,39,0,0.80000001,0.16666667,1,0
"256",0.5,0.83333331,0.5,46,0,0.60000002,0.16666667,0,0
"257",0,0.66666669,0.16666667,42,0,0.40000001,0.33333334,1,0
"258",0.80000001,0.5,0.33333334,18,1,NA,0,0,1
"259",0.5,0.66666669,0.5,28,1,0.60000002,0.83333331,1,0
"260",0.60000002,1,0.83333331,25,1,0.5,0.5,0,1
"261",0.5,0.5,0.16666667,45,0,0.80000001,0.16666667,1,0
"262",0.69999999,0.83333331,1,19,0,0.69999999,0,0,1
"263",0.5,1,0.33333334,59,1,0.2,0,0,1
"264",1,0.33333334,0.66666669,40,0,0.60000002,0.16666667,0,1
"265",0,0.83333331,1,40,1,0,0,1,0
"266",0.5,1,0.5,40,0,0.69999999,0.5,0,1
"267",0.5,0.5,0.33333334,68,0,0.2,0.16666667,0,1
"268",0,0.66666669,1,49,1,0.69999999,0.5,1,0
"269",0,NA,0.33333334,54,1,0.2,0.16666667,1,0
"270",0.69999999,0.66666669,0.66666669,20,1,1,0.33333334,0,1
"271",0,0.5,0.5,66,0,0.5,0.16666667,1,0
"272",0.89999998,1,0.83333331,57,0,1,0.66666669,0,1
"273",0.2,NA,NA,47,1,0.80000001,0.16666667,0,1
"274",0.5,1,0.83333331,59,0,NA,0.16666667,0,1
"275",1,0.66666669,0.66666669,24,1,0.2,0.66666669,0,1
"276",0.60000002,0.66666669,0.83333331,44,1,0.2,0.33333334,0,1
"277",0.60000002,0.83333331,0.66666669,46,1,1,0.33333334,0,1
"278",0.1,0.83333331,0,64,0,0.40000001,0.66666669,0,1
"279",0.60000002,0.83333331,0.83333331,53,1,0.80000001,0.16666667,0,1
"280",0.5,1,0.66666669,37,1,NA,0.66666669,1,0
"281",0.5,0.5,0.66666669,28,1,1,0.66666669,1,0
"282",0.5,0.83333331,0.5,58,1,0.40000001,0.66666669,0,0
"283",1,0.66666669,0.5,35,1,0.89999998,0.66666669,0,1
"284",0.30000001,0.66666669,0.5,60,0,0.69999999,0.66666669,1,0
"285",0.5,0.16666667,0.16666667,48,1,0.2,0.33333334,1,0
"286",0.5,0.66666669,0.33333334,59,0,0.80000001,0.16666667,1,0
"287",0.89999998,0.16666667,0.5,27,0,0.2,0.16666667,1,0
"288",0.40000001,0.83333331,0.83333331,35,0,0.69999999,0.16666667,0,0
"289",0.80000001,NA,NA,55,1,0.2,0,0,0
"290",0.30000001,0.33333334,0.5,41,1,0.60000002,0.16666667,1,0
"291",0.69999999,0.33333334,0.83333331,21,1,0.5,0,0,1
"292",0.5,1,1,45,1,NA,0.16666667,0,1
"293",0.40000001,0.83333331,0.83333331,59,0,0.30000001,0.16666667,0,0
"294",0.5,1,1,61,1,0.30000001,0.5,1,0
"295",0,0.16666667,0,63,1,0.5,1,1,0
"296",0.2,1,1,29,1,0,0.66666669,1,0
"297",0.40000001,NA,0.33333334,50,1,0.80000001,0,1,0
"298",0.5,0.66666669,0.33333334,68,0,0.60000002,0.66666669,1,0
"299",0.40000001,0.5,0.83333331,48,1,0.69999999,0.33333334,0,0
"300",0.5,0.5,0.83333331,28,1,0.2,0.16666667,0,1
"301",0,0.5,0.16666667,29,0,0.5,0.16666667,0,1
"302",0.69999999,0.83333331,NA,58,1,0.2,0,0,0
"303",0.80000001,0.66666669,0.66666669,65,0,0.60000002,0.16666667,0,1
"304",0,0,0,34,0,0.1,0,0,0
"305",0.40000001,0.83333331,0.5,20,1,1,0.33333334,0,0
"306",1,0.5,NA,60,0,0.5,0.66666669,0,1
"307",1,0.66666669,0.33333334,60,0,0.2,0.16666667,0,1
