country,year,company,pct_rev_change,prop_attn,prop_lead,prop_pay,prop_family,prop_harass
Italy,2015,112522,-11.37557116551865,0.08622813500862281,0.03695491500369549,0,0.04927322000492732,0
Italy,2009,112522,20.875174569395494,0.005027146591594611,0.005027146591594611,0,0,0
Italy,2007,112522,NA,0,0,0,0,0
Italy,2008,112522,26.191675058744536,0.0031020256227316436,0,0,0.0031020256227316436,0
Italy,2010,112522,2.855413732394374,0.04630701551285019,0,0,0.04051863857374392,0.005788376939106274
Italy,2012,112522,-0.5774338838202997,0.06947075912593154,0.012631047113805733,0,0.05683971201212581,0
Italy,2016,112522,-7.641400538668719,0.0939207650273224,0.03415300546448088,0,0.059767759562841534,0
Italy,2011,112522,-7.365605776945705,0.05317734645041213,0.02127093858016485,0,0.031906407870247275,0
Italy,2017,112522,-3.957673721046495,0.1348799568384138,0.02697599136768276,0.017983994245121843,0.0899199712256092,0
Italy,2017,180759,12.444725205306373,0.261079979623026,0.1400916963830871,0,0.12098828323993888,0
Italy,2016,180759,-1.2353381582231093,0.32328297156429375,0.10556178663323876,0,0.21772118493105494,0
Italy,2015,180759,6.814168138349275,0.24342745861733206,0.07650577270830435,0,0.16692168590902767,0
Italy,2009,180759,-10.402090872537196,0.25611409631898757,0.08537136543966253,0,0.17074273087932507,0
Italy,2007,180759,NA,0.4344633459796843,0.14686084934524538,0,0.2876024966344389,0
Italy,2013,180759,-0.35506885681101386,0.25120510557403763,0.088261253309797,0,0.1629438522642406,0
Italy,2010,180759,22.62262711484091,0.2869153266164009,0.06672449456195369,0.013344898912390738,0.20684593314205646,0
Italy,2011,180759,5.160298638559513,0.3280801452926358,0.17575722069248345,0.005858574023082781,0.14646435057706952,0
Italy,2012,180759,4.875756942994358,0.3099351432015153,0.12626987315617288,0,0.18366527004534236,0
Italy,2008,180759,25.295984684366978,0.45063710763493214,0.11913394799544183,0,0.3315031596394903,0
Italy,2014,180759,-0.05661382709470919,0.21608643457382953,0.09003601440576231,0.006002400960384154,0.12004801920768307,0
Italy,2011,415943,7.312866505691629,0,0,0,0,0
Italy,2009,415943,-2.0626878865028564,0.006914672935970129,0,0,0.006914672935970129,0
Italy,2008,415943,NA,0,0,0,0,0
Italy,2013,415943,3.197854925204635,0.011138751717224223,0.0037129172390747414,0,0.007425834478149483,0
Italy,2010,415943,13.813075665869313,0.0035911800617682973,0,0,0.0035911800617682973,0
Italy,2012,415943,13.886210221793638,0.0036103689797097266,0,0,0.0036103689797097266,0
Italy,2012,136356,0.8639295023279425,0,0,0,0,0
Italy,2010,136356,4.7907368546801,0,0,0,0,0
Italy,2009,136356,NA,0,0,0,0,0
Italy,2011,136356,4.709942354778374,0,0,0,0,0
Italy,2015,136356,2.7491823773704738,0,0,0,0,0
Italy,2013,136356,8.312274597450099,0.005181078700585462,0.005181078700585462,0,0,0
Italy,2014,136356,5.6183776654209705,0,0,0,0,0
Italy,2017,136356,5.190235690235689,0.01683671751355356,0.0033673435027107112,0,0.013469374010842845,0
Italy,2016,136356,4.280891289669153,0,0,0,0,0
Italy,2012,395340,-12.458237259423088,0.007300202580621612,0.005475151935466209,0,0.001825050645155403,0
Italy,2010,395340,10.548816606144884,0.004105427374989736,0.002052713687494868,0,0.002052713687494868,0
Italy,2017,395340,-0.9817289337332946,0.21613832853025938,0,0,0.21613832853025938,0
Italy,2014,395340,-0.008785544850209437,0.0269855108564786,0.024909702329057166,0,0.0020758085274214305,0
Italy,2015,395340,3.2333645735707517,0.02512036843207034,0.020933640360058615,0,0.004186728072011723,0
Italy,2011,395340,-0.985439720442638,0.010404528050607625,0.00416181122024305,0,0.0062427168303645746,0
Italy,2008,395340,4.15717400357658,0.006851035648222156,0.0022836785494073854,0,0.004567357098814771,0
Italy,2009,395340,-8.676325321040501,0.00900515545149598,0.002251288862873995,0,0.006753866588621986,0
Italy,2007,395340,NA,0.00478217206255081,0,0,0.00478217206255081,0
Italy,2016,395340,4.034271448025417,0.024344227375083682,0.02028685614590307,0,0.0040573712291806134,0
Italy,2013,395340,-8.224258876017954,0.02998500749625187,0.025371929419905428,0,0.004613078076346442,0
Italy,2009,194935,19.920467254877593,0.2584572971110218,0.022973981965424158,0,0.2354833151455976,0
Italy,2010,194935,7.233160621761647,0.23751259536490574,0.021592054124082338,0,0.21592054124082338,0
Italy,2008,194935,-16.063419213518305,0.3105211885046274,0.024354603019970774,0,0.2861665854846566,0
Italy,2013,194935,9.810872121889268,0.24846649584595076,0.023293733985557886,0.007764577995185961,0.21740818386520694,0
Italy,2011,194935,-20.883262466177044,0.2651640702684786,0.033145508783559825,0,0.23201856148491878,0
Italy,2012,194935,62.12324416758275,0.2068680182043856,0.0330988829127017,0,0.1737691352916839,0
Italy,2014,194935,1.366908103680009,0.14646649578908824,0.007323324789454412,0.007323324789454412,0.13181984621017942,0
Italy,2007,194935,NA,0.3321583514099783,0.027114967462039046,0,0.3050433839479393,0
