techzip2,groupcat1,groupcat2,group_placzcat21,group_placzcat22,group_placzcat23,indian_traits,threatened2,dscore2,female,age,married,pid,educ,racewhite,income2,h1bvisas_scale,agesq,h1bvisas_indicator
1,0,0,0,0,0,,.25,.5212239,1,.6111111,1,0,.80000001,0,.44444445,.5,.37345678,1
1,0,0,0,0,0,.25,.75,.36025697,1,.55555558,1,0,1,0,.66666669,.5,.308642,1
1,1,0,1,0,0,.5,.5,.63118023,0,.013888889,0,0,.40000001,0,.11111111,.5,.00019290124,1
1,0,1,0,0,1,.1,0,.59066039,0,.29166666,0,.40000001,.80000001,0,.11111111,.5,.08506944,1
1,0,0,0,0,0,.5,.25,.76038486,1,.097222224,1,.40000001,.2,0,0,.5,.0094521604,1
1,1,0,1,0,0,.25,.25,.4027296,1,.013888889,0,0,0,0,.33333334,.5,.00019290124,1
1,0,0,0,0,0,.34999999,.75,1.1130036e-08,1,.31944445,1,.2,1,0,.55555558,0,.10204475,0
1,1,0,1,0,0,.40000001,.5,.43821716,1,.55555558,0,.2,.2,0,0,.25,.308642,0
1,0,1,0,0,1,.40000001,.75,.75550151,0,.125,0,1,.2,0,0,.75,.015625,1
1,1,0,1,0,0,.44999999,0,.55827272,0,.79166669,1,0,1,1,.8888889,.5,.62673616,1
1,1,0,1,0,0,,.75,.36293504,0,.125,0,0,.2,0,0,.75,.015625,1
1,1,0,1,0,0,.5,1,.60746986,0,.45833334,0,0,0,0,0,1,.21006945,1
1,0,0,0,0,0,.30000001,.5,.55227882,1,.11111111,0,.2,.2,0,.11111111,.5,.012345679,1
1,1,0,1,0,0,.5,.5,.45998064,1,.2361111,0,0,.40000001,1,.8888889,0,.055748455,0
1,0,0,0,0,0,.40000001,.5,.48280168,1,.083333336,0,1,.80000001,1,.33333334,.5,.006944445,1
1,0,0,0,0,0,,.5,.60014993,1,.125,0,.60000002,0,0,.11111111,.5,.015625,1
1,1,0,1,0,0,.80000001,.5,.61529624,0,.56944442,1,.40000001,.60000002,1,,.25,.32426694,0
1,1,0,1,0,0,.34999999,.75,.75945032,0,1,0,1,.80000001,1,.11111111,0,1,0
1,1,0,1,0,0,.34999999,.75,.26902908,0,.66666669,1,1,.80000001,1,.33333334,.25,.44444448,0
1,0,0,0,0,0,.55000001,.75,.49767682,0,.52777779,0,0,.60000002,1,.33333334,0,.2785494,0
1,0,0,0,0,0,.34999999,.5,.61193782,1,.54166669,1,0,.2,1,.8888889,.25,.29340279,0
1,1,0,1,0,0,.40000001,.25,.40877685,1,.2638889,1,0,.60000002,0,.11111111,.5,.069637351,1
1,1,0,1,0,0,.30000001,0,.51243567,0,.79166669,0,.40000001,.80000001,1,.11111111,1,.62673616,1
1,0,0,0,0,0,.25,0,.51559198,0,.70833331,1,.40000001,.80000001,1,.66666669,.75,.5017361,1
1,0,0,0,1,0,.25,.5,.66693646,0,.77777779,1,0,1,1,.55555558,.5,.60493827,1
1,0,0,0,0,0,.30000001,.75,.35277832,0,.16666667,0,.2,.2,1,.22222222,0,.02777778,0
1,0,0,0,0,0,.44999999,1,.62651968,0,.44444445,0,.60000002,.40000001,0,.33333334,0,.19753087,0
1,0,1,0,0,1,.25,.5,.71078837,0,.2361111,1,.40000001,.40000001,1,1,.75,.055748455,1
1,1,0,1,0,0,0,.25,.55809349,1,.45833334,1,0,.80000001,0,.66666669,.5,.21006945,1
1,0,0,0,0,0,.44999999,.25,.7280882,1,.2361111,1,.40000001,.80000001,1,1,.5,.055748455,1
1,0,0,0,0,0,.69999999,0,.54526657,0,.027777778,0,.60000002,.2,1,1,0,.00077160494,0
1,0,0,0,0,0,.15000001,.75,.31129131,1,.33333334,1,.60000002,.2,1,.55555558,.5,.11111112,1
1,0,0,0,0,0,,.5,.63489807,1,.5138889,0,0,.60000002,1,.22222222,0,.26408181,0
1,0,1,0,0,1,.2,0,.65762693,0,.55555558,1,.60000002,.80000001,1,.77777779,1,.308642,1
1,1,0,1,0,0,.30000001,.5,.72771245,0,.56944442,0,.2,.40000001,1,.11111111,.25,.32426694,0
1,1,0,1,0,0,.55000001,.75,.28452402,1,.65277779,1,1,.2,1,.11111111,.25,.42611885,0
1,1,0,1,0,0,.25,.5,.75081325,1,.54166669,1,.2,.2,1,.22222222,.25,.29340279,0
1,0,0,0,0,0,.15000001,.25,.33852991,1,.097222224,0,.80000001,.40000001,1,,.5,.0094521604,1
1,0,0,0,0,0,.15000001,.5,.50544405,0,.5138889,1,.60000002,1,1,.33333334,.5,.26408181,1
1,1,0,1,0,0,.15000001,.5,.59683233,1,.55555558,0,.40000001,.40000001,1,0,0,.308642,0
1,0,0,0,0,0,.69999999,.5,.57646561,1,.18055555,0,1,.80000001,1,.33333334,0,.032600306,0
1,0,0,0,1,0,.40000001,0,.53439045,0,.2638889,1,0,1,1,.55555558,1,.069637351,1
1,0,0,0,0,0,.25,.25,.81668347,0,.20833333,0,.2,.40000001,0,.11111111,.5,.043402776,1
1,0,0,0,0,0,.2,.5,.73333281,1,.65277779,1,0,.80000001,1,.66666669,.5,.42611885,1
1,0,0,0,0,0,.2,0,.55884635,0,.47222221,1,0,.80000001,0,.55555558,.5,.22299382,1
1,1,0,1,0,0,.25,0,.63304776,1,.875,1,0,.40000001,1,.77777779,.25,.765625,0
1,1,0,1,0,0,,.75,.46496275,1,.19444445,0,1,.2,1,.55555558,0,.037808642,0
1,0,0,0,0,0,.25,.5,.1309295,1,.58333331,0,0,.2,0,.22222222,0,.34027776,0
1,0,1,0,0,1,.75,.75,.45355406,1,.54166669,1,1,.80000001,1,1,0,.29340279,0
1,0,0,0,0,0,.34999999,.5,.65769345,1,.58333331,0,0,.2,0,.22222222,.5,.34027776,1
1,0,0,0,1,0,.30000001,0,.52391261,1,.31944445,1,.40000001,.80000001,1,1,1,.10204475,1
1,0,0,0,0,0,.050000001,.5,.56349063,1,.2361111,0,.2,.40000001,1,0,.25,.055748455,0
1,0,0,0,1,0,.69999999,1,.62656361,1,.72222221,0,.80000001,.40000001,1,.55555558,0,.5216049,0
1,1,0,1,0,0,.050000001,.5,.45930403,1,.43055555,1,0,.80000001,1,.77777779,.5,.18537809,1
1,0,0,0,1,0,.34999999,.5,.73876065,1,.1388889,0,1,.80000001,1,.55555558,.5,.019290125,1
1,0,0,0,0,0,.44999999,0,.64630491,0,.44444445,0,.60000002,.80000001,1,.55555558,.5,.19753087,1
1,1,0,1,0,0,.25,.5,.60970616,1,.4861111,1,.40000001,.40000001,0,.22222222,.5,.236304,1
1,0,0,0,1,0,.2,.5,.71459961,1,.43055555,1,1,.40000001,1,1,0,.18537809,0
1,1,0,1,0,0,,0,.65581995,0,0,0,.2,.2,0,.66666669,.5,0,1
1,0,0,0,0,0,.34999999,0,.45407742,0,.45833334,1,0,0,0,.11111111,.5,.21006945,1
1,1,0,1,0,0,.15000001,.5,.69868094,1,.68055558,0,0,.80000001,1,0,.25,.4631559,0
1,1,0,1,0,0,.55000001,.5,.56752914,0,.16666667,1,.2,.40000001,0,.44444445,.5,.02777778,1
1,0,0,0,0,0,.60000002,.5,.14316466,0,.055555556,0,.60000002,.40000001,0,0,.75,.0030864198,1
1,1,0,1,0,0,.30000001,.25,.63700026,1,.33333334,1,1,.80000001,1,.66666669,.25,.11111112,0
1,0,0,0,0,0,.30000001,.5,.53200132,0,.013888889,0,.40000001,.60000002,0,.66666669,.75,.00019290124,1
1,1,0,1,0,0,.5,1,.60995388,1,.31944445,1,.80000001,.80000001,1,.55555558,0,.10204475,0
1,1,0,1,0,0,.34999999,1,.71659052,1,.55555558,0,1,.80000001,1,0,0,.308642,0
1,0,0,0,0,0,.44999999,.75,.37303525,0,.29166666,1,.80000001,.80000001,1,.66666669,.25,.08506944,0
1,1,0,1,0,0,,1,.75075006,1,.41666666,1,.40000001,.80000001,1,.44444445,0,.1736111,0
1,1,0,1,0,0,.30000001,.25,.61661965,1,.3611111,1,.2,1,1,.66666669,.75,.13040122,1
1,0,0,0,0,0,.25,0,.5091688,1,.16666667,1,.40000001,.80000001,1,.44444445,.5,.02777778,1
1,0,0,0,0,0,,0,.62377524,1,.55555558,1,0,1,1,1,.75,.308642,1
1,1,0,1,0,0,.2,0,.60291749,1,.5,0,0,.40000001,1,0,0,.25,0
1,1,0,1,0,0,.5,1,.30265442,1,.125,0,1,.40000001,1,.55555558,0,.015625,0
1,0,0,0,0,0,.25,1,.64889979,0,.34722221,1,0,.40000001,0,.8888889,.25,.12056326,0
1,0,0,0,1,0,,.5,.5192337,1,.41666666,1,.2,.80000001,1,1,.5,.1736111,1
1,0,0,0,0,0,.34999999,.25,.61035699,0,.27777779,1,.60000002,.40000001,1,1,.25,.0771605,0
1,0,0,0,0,0,.25,.5,.67909086,0,.4861111,0,0,.40000001,1,.66666669,.25,.236304,0
1,1,0,1,0,0,.30000001,0,.63569498,0,.69444442,1,0,1,1,.77777779,1,.48225304,1
1,0,0,0,0,0,,.5,.52458382,1,.52777779,1,.40000001,.2,1,.33333334,0,.2785494,0
1,1,0,1,0,0,,0,.39506298,1,.58333331,1,0,1,0,.66666669,.5,.34027776,1
1,1,0,1,0,0,0,.5,.50014269,1,.5138889,0,0,1,1,0,.5,.26408181,1
1,1,0,1,0,0,.2,0,.31486526,0,.58333331,1,.40000001,1,0,.55555558,.75,.34027776,1
1,0,0,0,0,0,.5,0,.58958977,0,.47222221,1,.40000001,1,1,.8888889,.5,.22299382,1
1,0,0,0,0,0,,0,.69027054,1,.55555558,0,0,.80000001,1,.11111111,.5,.308642,1
1,1,0,1,0,0,.30000001,1,.69330508,1,.80555558,0,.2,.2,1,.55555558,.75,.64891982,1
1,0,0,0,0,0,.1,0,.39479563,0,.34722221,1,.60000002,.2,0,0,.5,.12056326,1
1,0,0,0,0,0,.34999999,.5,.68540055,0,.84722221,1,.40000001,.80000001,0,.44444445,.25,.71778548,0
1,0,0,0,0,0,.34999999,.5,.41279122,1,.43055555,1,0,.80000001,1,.44444445,0,.18537809,0
1,0,0,0,0,0,.40000001,.25,.51146251,1,.20833333,1,.60000002,.60000002,1,.66666669,.75,.043402776,1
1,0,0,0,1,0,.64999998,1,.57752234,1,.069444448,0,.40000001,.40000001,1,.33333334,0,.0048225312,0
1,0,0,0,0,0,.34999999,.5,.64984745,0,.44444445,0,.40000001,.40000001,1,.11111111,.25,.19753087,0
1,0,1,0,0,1,.25,.75,.71860564,0,.44444445,1,.60000002,.80000001,0,.33333334,0,.19753087,0
1,1,0,1,0,0,.30000001,.25,.65467149,1,.59722221,1,0,1,1,1,.25,.35667437,0
1,0,0,0,0,0,.2,.5,.4136222,1,.40277779,1,.60000002,1,0,.66666669,.75,.16222996,1
1,1,0,1,0,0,.30000001,.25,.68492323,1,.70833331,0,.60000002,.40000001,1,.22222222,.5,.5017361,1
1,1,0,1,0,0,.34999999,.5,.83651292,1,.20833333,1,1,.80000001,0,.44444445,.5,.043402776,1
1,0,1,0,0,1,.40000001,.5,.65320987,1,.31944445,0,0,1,1,.77777779,.5,.10204475,1
1,1,0,1,0,0,.25,0,.44457188,1,.80555558,1,0,.80000001,1,.44444445,.75,.64891982,1
1,0,0,0,0,0,.25,0,.65670711,1,.4861111,1,0,.80000001,1,.22222222,1,.236304,1
1,1,0,1,0,0,.44999999,.5,.78625149,0,.7638889,0,.80000001,.40000001,1,0,0,.58352625,0
1,0,0,0,0,0,.69999999,.25,.64266318,1,.41666666,1,0,1,0,.8888889,0,.1736111,0
1,0,0,0,0,0,.2,0,.63410473,1,.22222222,0,0,1,0,.77777779,.75,.049382716,1
1,0,0,0,0,0,.34999999,0,.56340921,0,.4861111,1,.40000001,.80000001,1,.66666669,.25,.236304,0
1,0,1,0,0,1,.15000001,1,.77528214,1,.5,1,.2,1,1,.77777779,0,.25,0
1,0,0,0,0,0,,.25,.35528675,1,.1388889,1,.40000001,1,1,.55555558,.5,.019290125,1
1,0,0,0,0,0,.1,.5,.72437453,1,.54166669,0,.80000001,1,1,.55555558,.5,.29340279,1
1,0,0,0,0,0,.5,0,.50353771,1,.3888889,1,.2,1,1,1,.5,.15123457,1
1,1,0,1,0,0,.30000001,.25,.53638315,0,.6111111,1,.40000001,1,1,.66666669,.75,.37345678,1
1,0,0,0,0,0,.30000001,.25,.68362868,1,.40277779,0,.80000001,.80000001,1,0,.5,.16222996,1
1,1,0,1,0,0,.34999999,.25,.36648113,0,.80555558,1,.60000002,.80000001,1,.8888889,.5,.64891982,1
1,1,0,1,0,0,.30000001,.75,.70524716,1,.55555558,1,0,.2,1,.66666669,0,.308642,0
1,0,0,0,1,0,.25,.5,.38570473,1,.29166666,1,.2,.80000001,1,.44444445,.5,.08506944,1
1,0,0,0,0,0,.30000001,0,.53913277,1,.6388889,0,0,1,1,.66666669,.75,.40817901,1
1,0,0,0,0,0,.25,0,.38722953,1,.15277778,0,.2,1,0,.8888889,1,.023341049,1
1,0,0,0,0,0,.25,.5,.4529759,0,.2638889,1,1,.80000001,1,1,.5,.069637351,1
0,0,0,0,0,0,.25,1,.68510044,0,.55555558,1,.60000002,1,1,1,0,.308642,0
1,1,0,1,0,0,,1,.4643155,1,.27777779,1,1,.40000001,1,.44444445,0,.0771605,0
1,0,0,0,0,0,.55000001,1,.48163375,0,.11111111,0,.40000001,.2,0,,.75,.012345679,1
1,1,0,1,0,0,.2,1,.57421792,1,.27777779,0,.40000001,.40000001,1,.55555558,0,.0771605,0
1,0,0,0,0,0,.2,0,.6452651,0,.29166666,1,.2,.80000001,1,.55555558,.5,.08506944,1
1,1,0,1,0,0,,.25,.51513755,1,.013888889,0,.2,.40000001,0,0,.75,.00019290124,1
1,1,0,1,0,0,.40000001,0,.59372008,0,.11111111,0,1,.80000001,1,.22222222,.25,.012345679,0
1,0,0,0,0,0,.30000001,.5,.64254242,0,.47222221,0,0,.40000001,0,.22222222,.5,.22299382,1
1,0,0,0,0,0,0,0,.72095668,0,0,0,.60000002,.40000001,1,.77777779,.5,0,1
1,0,0,0,0,0,.34999999,0,.59122652,0,.45833334,1,.2,.60000002,1,.22222222,.5,.21006945,1
1,1,0,1,0,0,.1,0,.39051864,0,0,0,.80000001,.2,1,.66666669,1,0,1
1,1,0,1,0,0,.15000001,1,.75630283,1,.80555558,1,.40000001,.80000001,1,.55555558,.25,.64891982,0
1,1,0,1,0,0,.30000001,.5,.67996883,1,.041666668,0,0,.40000001,1,,1,.0017361112,1
1,0,0,0,0,0,.44999999,0,.55827725,0,.31944445,0,.40000001,.60000002,1,.77777779,.75,.10204475,1
1,0,0,0,0,0,.25,0,.28378356,1,.31944445,1,.80000001,.40000001,1,.8888889,.75,.10204475,1
1,0,1,0,0,1,.5,.5,.63169736,0,.44444445,1,.2,.80000001,1,.55555558,0,.19753087,0
1,0,0,0,0,0,.5,.5,.76668435,1,.083333336,0,1,.80000001,1,.55555558,.25,.006944445,0
1,0,0,0,0,0,.44999999,.75,.56538409,0,.55555558,0,.40000001,.80000001,1,1,.5,.308642,1
1,0,0,0,0,0,.44999999,.5,.5430935,1,.56944442,1,0,.80000001,1,.77777779,0,.32426694,0
1,0,0,0,0,0,.30000001,.25,.56962156,1,.43055555,1,.40000001,1,1,.55555558,0,.18537809,0
1,1,0,1,0,0,.55000001,1,.5440383,1,.54166669,1,.40000001,.2,1,.55555558,0,.29340279,0
1,0,1,0,0,1,.30000001,.5,.69006753,0,.34722221,1,.40000001,.2,1,.44444445,.25,.12056326,0
